ccid,name,sex,age,channel_id,mobile,province,city,id
CU17024746108932,云小姐,女,54,100000001,14748605732,福建省,大同县,430204197910261946
CU17026842093675,孔小姐,女,36,100000006,17240918356,河北省,安新县,320401198411211392
CU17017410693285,董先生,男,44,100000005,17686512730,安徽省,固安县,640401195212122203
CU17020219754038,顾先生,男,24,100000003,18559734216,山东省,岫岩满族自治县,371329196604162102
CU17027956817240,姜小姐,女,22,100000005,17846213708,江西省,东丰县,131001201007282365
CU17019123568490,鲁小姐,女,42,100000006,17560491758,新疆维吾尔自治区,东丽区,330326193308051952
CU17012951364027,屈小姐,女,40,100000001,17812586709,内蒙古自治区,溪湖区,610302199401052703
CU17012501937426,俞先生,男,56,100000007,13553024986,广东省,南和县,411330194104051866
CU17026972186035,平先生,男,27,100000004,13205273186,甘肃省,内丘县,610725195102131933
CU17011630958147,熊先生,男,43,100000003,18591204375,浙江省,宁晋县,54233519620827144X
CU17019371048695,孔先生,男,21,100000005,13829175084,新疆维吾尔自治区,代县,52263620000412201X
CU17020097168325,喻女士,女,42,100000007,18836215708,香港特别行政区,盘锦市,421024193911111036
CU17014145876093,卫女士,女,34,100000006,15367238410,福建省,海勃湾区,210201196105211179
CU17011243915087,齐小姐,女,29,100000009,13948961702,北京市,岭东区,51342819500802259X
CU17022637905821,凤先生,男,28,100000003,15175942806,陕西省,武邑县,350926193909211622
CU17017859304612,金先生,男,25,100000003,17190637452,贵州省,红岗区,341101200403241132
CU17028368972510,平小姐,女,40,100000008,18117059432,香港特别行政区,北辰区,361027197708202322
CU17022649312708,尤先生,男,27,100000009,13926154378,广西壮族自治区,宁江区,54233619481220238X
CU17019798435261,范女士,女,33,100000000,18276893025,福建省,北京市,410927197007081396
CU17027475603892,乐先生,男,59,100000008,18408793426,江西省,和林格尔县,230622197804072819
CU17011610895743,沈先生,男,37,100000008,13258031472,上海市,克山县,130631197806232415
CU17011275961834,时小姐,女,57,100000005,17419468357,重庆市,望都县,370126193110251752
CU17020956107348,常先生,男,58,100000005,13754197623,澳门特别行政区,双桥区,52010119961229112X
CU17023487639021,施小姐,女,23,100000009,15905467832,浙江省,宽甸满族自治县,230705194507132929
CU17013813269405,严女士,女,42,100000007,15019678532,宁夏回族自治区,翼城县,632626197112312953
CU17028853471026,乐先生,男,47,100000007,13541723905,湖南省,枣强县,430781194902072506
CU17028591203786,何女士,女,35,100000006,15964701329,广西壮族自治区,瓦房店市,611002193105091033
CU17026139072485,毛小姐,女,30,100000005,18656832419,河南省,宾县,371728197901012872
CU17017475109263,齐先生,男,54,100000005,18121076354,湖南省,铁西区,52062319930618101X
CU17015190654278,柳小姐,女,28,100000007,14764923018,新疆维吾尔自治区,辉南县,620802199106222203
CU17017860759412,臧女士,女,50,100000004,13513724856,天津市,太谷县,54252320091010162X
CU17014596231704,李小姐,女,27,100000001,13871609238,福建省,龙凤区,450224197201112796
CU17016018546793,岑女士,女,48,100000008,15709436781,浙江省,晋源区,130724197608291415
CU17023783146025,赵女士,女,60,100000001,18776213954,西藏自治区,顺平县,421121196011091546
CU17023629810354,李小姐,女,41,100000001,15832684957,湖南省,宏伟区,411627199211252076
CU17016504682973,韦先生,男,20,100000006,15748269713,贵州省,稷山县,622926198502221473
CU17025146072938,齐先生,男,51,100000009,15303642785,浙江省,阳原县,330324200005102952
CU17028068743192,穆先生,男,48,100000005,18090135682,浙江省,弓长岭区,210403196609041799
CU17018521897430,常小姐,女,50,100000004,17542038197,贵州省,桃城区,210106199811301719
CU17026145029876,柳小姐,女,41,100000002,15996357028,台湾省,化德县,350582199307021492
CU17024584639127,乐先生,男,45,100000004,13880351492,海南省,方山县,53082319640719273X
CU17017412637089,葛先生,男,56,100000004,18207315469,河北省,平乡县,445302201109011206
CU17012381560297,谈先生,男,57,100000005,18418459063,重庆市,东胜区,360726199102052922
CU17021862543790,严小姐,女,44,100000004,18559721638,西藏自治区,兴县,350301197805242952
CU17013089576142,祁小姐,女,48,100000003,18884627053,河北省,四平市,52030219430115254X
CU17023591673408,黄先生,男,27,100000002,17727016958,山东省,鸡泽县,652822201111271253
CU17028216738950,茅小姐,女,58,100000007,18754791382,澳门特别行政区,铁西区,150782198311051615
CU17027483296170,葛女士,女,56,100000001,15779621053,天津市,集安市,370602194705191142
CU17022530918674,平女士,女,53,100000008,17989563174,台湾省,苏家屯区,610821194909092413
CU17017321978465,郎小姐,女,44,100000005,13864289571,河南省,本溪市,130302199701281435
CU17025851024396,魏小姐,女,23,100000003,18803458679,山东省,阿荣旗,410303193010161306
CU17022173864520,时女士,女,59,100000007,17712875304,台湾省,兴安区,610625197311192933
CU17025524398710,费小姐,女,22,100000000,15856104987,吉林省,秦皇岛市,51180319580508123X
CU17027915647208,和女士,女,30,100000000,17313974508,贵州省,沙河口区,360425193403101202
CU17014973514026,贝小姐,女,37,100000006,18308395426,福建省,巴林左旗,321182200211141342
CU17021751249063,钱先生,男,55,100000006,17202689751,香港特别行政区,达尔罕茂明安联合旗,422827199604222686
CU17020356470182,鲁女士,女,32,100000009,17346503978,江西省,昔阳县,231283200603181519
CU17016685437021,卫小姐,女,55,100000006,15746938725,广东省,丰南区,231281194208191779
CU17021056349812,廉女士,女,41,100000006,17536479825,香港特别行政区,大厂回族自治县,360825194206152762
CU17015281503647,薛女士,女,58,100000007,18980451972,河北省,桥西区,220882200401121279
CU17026603571492,严女士,女,33,100000008,15761935784,天津市,辽阳市,51060319670329298X
CU17016974168503,尹女士,女,29,100000001,15939574216,广东省,浑源县,430822197901121436
CU17027581693407,孔小姐,女,25,100000005,15803769124,澳门特别行政区,克东县,230207199312262319
CU17024659370812,贝先生,男,41,100000007,18862350194,海南省,朝阳区,621126194307221133
CU17019943725081,郝小姐,女,39,100000006,18096341285,安徽省,陵川县,371081200405102552
CU17027342879105,萧女士,女,38,100000002,15014306957,上海市,阳原县,361126200608291302
CU17024719652308,孔女士,女,21,100000003,18370986423,黑龙江省,献县,620982200105201043
CU17013076518349,毕女士,女,20,100000007,18997380156,香港特别行政区,阜平县,610521195608072363
CU17026690352748,堪小姐,女,35,100000009,18740639125,山东省,新巴尔虎右旗,140301198501071465
CU17011310428756,梁先生,男,46,100000001,13073824195,宁夏回族自治区,崇礼区,331121201105211552
CU17026469753108,苗小姐,女,49,100000007,17820681934,天津市,阿拉善左旗,51152919320507172X
CU17028871340925,孙小姐,女,37,100000000,13851620437,新疆维吾尔自治区,昂昂溪区,610925196311271883
CU17022580967134,酆先生,男,48,100000004,13104573821,陕西省,尧都区,620111194401251033
CU17016580314629,费先生,男,53,100000005,13245203896,宁夏回族自治区,辽源市,231102201111082949
CU17025864953702,姚先生,男,44,100000006,18419687254,贵州省,沈河区,430524199712161866
CU17014875014296,钱小姐,女,22,100000009,15165273018,湖南省,衡水市,130601198106021085
CU17024728541603,魏小姐,女,53,100000004,18732709461,天津市,定襄县,654324195311221143
CU17012145326780,纪小姐,女,56,100000009,18034687910,黑龙江省,滦平县,430211196507212216
CU17018073168529,元小姐,女,52,100000008,13607543168,辽宁省,广灵县,220102198609041829
CU17022560372981,酆女士,女,56,100000007,17903827619,上海市,竞秀区,371001194805311142
CU17018930176524,钱先生,男,40,100000007,18208654271,福建省,冀州区,140781198912172955
CU17015895342076,郝先生,男,27,100000003,15341876259,广西壮族自治区,洮南市,420101199701102456
CU17024892506347,项小姐,女,24,100000000,15193208764,四川省,鹰手营子矿区,420505200601151116
CU17020230761954,孙先生,男,42,100000002,13406924713,湖南省,明山区,52042419700224211X
CU17014521697304,柏女士,女,35,100000005,15034185902,安徽省,桓仁满族自治县,654301198109272413
CU17013052634897,倪女士,女,43,100000008,15324839065,海南省,丰镇市,210711200903251249
CU17019749283150,喻小姐,女,33,100000008,15604219657,贵州省,交城县,230305194911201859
CU17015938142560,许先生,男,36,100000000,15508613542,天津市,成安县,410106199111211196
CU17012798356041,姚先生,男,35,100000005,15880531679,甘肃省,松山区,330702198711272812
CU17022748695201,伏小姐,女,39,100000004,15310895673,江苏省,宏伟区,320684195712231582
CU17017291654387,祁小姐,女,50,100000004,13426034718,四川省,乌马河区,440705195105032436
CU17012048196537,昌小姐,女,30,100000007,17276480532,台湾省,河北区,440204200106102836
CU17023894321576,费女士,女,20,100000002,18719046578,江苏省,宾县,210602200210261179
CU17015658749012,许小姐,女,59,100000007,18440231895,台湾省,沧州市,341503196910112662
CU17019493052817,范女士,女,50,100000002,18931582940,四川省,河津市,431229200610161436
CU17016851946720,张小姐,女,42,100000007,17783092615,西藏自治区,吕梁市,51010819700111106X
CU17015067358219,戴女士,女,53,100000003,17904167325,天津市,祁县,340303194511211542
CU17022057361289,水小姐,女,38,100000001,18276310524,山西省,朝阳县,220521198201272569
CU17020967310584,滕女士,女,44,100000006,18242613957,浙江省,林甸县,371522193307221192
CU17022375482016,滕女士,女,51,100000002,15213042586,云南省,交口县,150121193001051295
CU17024691427038,史小姐,女,21,100000002,18826704185,西藏自治区,右玉县,53052419400722106X
CU17028725918034,殷小姐,女,28,100000004,18836798501,新疆维吾尔自治区,岚县,371103193601092982
CU17012967540218,宋先生,男,20,100000009,13193568710,江苏省,辽中区,350801195803311432
CU17016346782519,臧先生,男,52,100000003,18919325046,山东省,岢岚县,361030194610122752
CU17011746931250,邹小姐,女,33,100000008,13521936085,湖北省,吴桥县,220301200205092879
CU17013635419028,萧小姐,女,46,100000001,15258713602,天津市,万柏林区,54243019730727280X
CU17025390816257,郎女士,女,30,100000003,18853207916,湖北省,扎赉特旗,220781198408032909
CU17014648512903,董小姐,女,58,100000008,15912853097,甘肃省,商都县,411521197404202976
CU17023917602345,齐女士,女,31,100000006,17613025467,陕西省,饶阳县,53092519720903207X
CU17017218649753,宋小姐,女,39,100000009,17306312598,甘肃省,呼和浩特市,150125201208251935
CU17026105429867,明女士,女,25,100000004,17835214896,福建省,临河区,370703198407241112
CU17019327150984,马女士,女,29,100000000,15127618904,山东省,阳城县,130101193412242935
CU17018468132097,窦女士,女,59,100000006,18479805263,香港特别行政区,宣化区,53062520080504115X
CU17021548026719,吴女士,女,52,100000001,14760471583,西藏自治区,新乐市,640205201012101843
CU17028532467801,舒女士,女,43,100000001,15028947031,青海省,唐县,441303193001141186
CU17014305167498,潘小姐,女,30,100000003,18693682154,重庆市,古塔区,632525193904131723
CU17019912046875,鲁先生,男,40,100000008,15696058712,河北省,东丽区,51152319620719143X
CU17024689510437,谈小姐,女,35,100000009,18823146059,甘肃省,大宁县,54222819960125122X
CU17028415079268,费女士,女,52,100000001,18996108234,湖北省,东乌珠穆沁旗,350824198111132332
CU17022108432576,孔小姐,女,24,100000000,18565432108,安徽省,友好区,341023198305032392
CU17022205671894,殷女士,女,22,100000003,15724568193,福建省,安平县,411024195007161366
CU17019064791523,萧先生,男,34,100000002,13758670943,广东省,郊区,361122193610241102
CU17013176384592,宋女士,女,45,100000004,13665342078,上海市,正镶白旗,360111200007013002
CU17024217836495,杨先生,男,59,100000000,13453210864,河北省,忻府区,130601200411242705
CU17018172596380,禹女士,女,38,100000005,18684793265,新疆维吾尔自治区,滦平县,420922197806182546
CU17028058374192,酆先生,男,60,100000003,18561438925,青海省,顺城区,330624198211092062
CU17021536971824,余先生,男,23,100000003,18463925081,陕西省,德惠市,51030319930623214X
CU17020635089714,钱先生,男,41,100000004,15965094812,浙江省,带岭区,150206200111281925
CU17019873016245,计先生,男,44,100000001,15896320475,甘肃省,东城区,441225193002162256
CU17019530987426,贺先生,男,29,100000002,13616759802,湖北省,铁西区,141126196502092455
CU17012316287049,卞先生,男,37,100000006,15027931405,浙江省,黄骅市,130922196908151035
CU17025960714382,茅女士,女,39,100000004,13005982341,台湾省,肃宁县,140723196407252125
CU17021078956123,滕小姐,女,56,100000005,18429580734,广西壮族自治区,玉泉区,360731197107211622
CU17027406389527,苏先生,男,37,100000003,15090327651,甘肃省,松山区,50010519640130172X
CU17020740521938,潘先生,男,47,100000002,13852431968,台湾省,庄河市,51050119690804126X
CU17020387149502,赵小姐,女,53,100000009,17927896351,广东省,苏尼特右旗,52040220120830166X
CU17026639578140,潘女士,女,47,100000008,18780569271,香港特别行政区,交城县,130406198007271305
CU17021302541687,薛女士,女,37,100000001,13613407925,重庆市,兴安区,361101196903302702
CU17026510629347,窦小姐,女,27,100000008,18830942768,吉林省,站前区,53062920060515290X
CU17026820963741,明小姐,女,33,100000001,17447169853,四川省,乌审旗,632622195408082983
CU17021207389145,茅先生,男,45,100000002,17290463278,四川省,库伦旗,130406195706031165
CU17025576341208,皮女士,女,58,100000001,15229345167,陕西省,喀喇沁左翼蒙古族自治县,640202197705012343
CU17018042378916,毕女士,女,46,100000005,13018639470,福建省,凌源市,130722193109161685
CU17021689147250,李先生,男,45,100000002,18658321674,上海市,津南区,150502193809252155
CU17019814623907,皮先生,男,52,100000001,18962905841,澳门特别行政区,松山区,653022195508171103
CU17027607591823,魏先生,男,30,100000005,17270138942,湖南省,扎赉诺尔区,420201199402111816
CU17023251037486,安先生,男,50,100000005,13512098346,天津市,桥西区,622901194803092183
CU17028781539402,穆小姐,女,55,100000002,18736975140,内蒙古自治区,商都县,441625197507152096
CU17022430526789,孙先生,男,59,100000008,14786297351,上海市,大石桥市,360735195802232292
CU17021825960471,奚小姐,女,42,100000004,18949736185,西藏自治区,新邱区,360781197905191032
CU17028974865021,穆女士,女,57,100000005,15219382075,河南省,新民市,51190119840627130X
CU17013271538946,张先生,男,24,100000002,17441723965,山东省,新青区,331125194507072262
CU17017920185674,马小姐,女,43,100000004,15707156289,贵州省,武川县,450422199107121096
CU17017975016284,纪女士,女,52,100000006,13382976451,山东省,建昌县,430503194908281716
CU17021741382605,郑小姐,女,49,100000003,15827638591,陕西省,细河区,220523197111042539
CU17026054731962,梁先生,男,39,100000006,18810784536,贵州省,开鲁县,610827194508241953
CU17024702549138,郝小姐,女,33,100000000,15852047389,台湾省,铁西区,150301200311041285
CU17028942851370,滕女士,女,51,100000005,17335286071,贵州省,友好区,410101193101182146
CU17011784630952,皮女士,女,38,100000001,18718340975,重庆市,平乡县,340223201202271362
CU17017015782963,薛女士,女,34,100000009,18956137408,河北省,固安县,53292719851222176X
CU17012471356098,奚小姐,女,55,100000003,15768750294,西藏自治区,和平区,52011119870310297X
CU17017518923607,章先生,男,38,100000003,17240563179,甘肃省,太平区,420582199110201226
CU17015158264097,倪女士,女,42,100000001,18015369027,广东省,涿鹿县,210282197612161889
CU17015098472613,喻女士,女,53,100000003,18925109386,澳门特别行政区,龙沙区,441624197705052256
CU17023305729186,常先生,男,44,100000003,13753614089,安徽省,建华区,371701194201231982
CU17018937468102,宋小姐,女,40,100000005,18168379105,青海省,舒兰市,320312194704082422
CU17021240956318,章小姐,女,54,100000007,17914359862,黑龙江省,铁东区,53062220080305169X
CU17022278456019,祁女士,女,54,100000003,18490754632,广西壮族自治区,兴城市,632724200411252063
CU17027503819476,鲁小姐,女,50,100000009,17192503684,湖南省,正蓝旗,150424194211101965
CU17023238769401,滕小姐,女,29,100000009,13180437169,福建省,金山屯区,360901200101181592
CU17012472516908,花先生,男,24,100000000,13074165928,江苏省,古塔区,610330194907012793
CU17022905167238,钱女士,女,31,100000003,15661745029,安徽省,青县,620981194511301443
CU17021508647193,祝女士,女,26,100000001,18095071628,贵州省,大厂回族自治县,350103195502062342
CU17014750623984,沈小姐,女,26,100000002,18953827491,浙江省,辉南县,130321200605092225
CU17023328604591,汤小姐,女,21,100000006,13580376194,新疆维吾尔自治区,大厂回族自治县,410108194009012226
CU17028735802419,蒋先生,男,40,100000001,15984915326,浙江省,东河区,141002195807082365
CU17028325918704,项女士,女,60,100000006,17218294736,内蒙古自治区,赤峰市,231123198412182999
CU17026703152689,周先生,男,40,100000003,15058071463,山西省,兴山区,141028200206102225
CU17019953012487,孙女士,女,44,100000007,18524971568,江苏省,新华区,350201196609271182
CU17016279038146,昌先生,男,28,100000009,17217809463,新疆维吾尔自治区,尧都区,51160319961115218X
CU17017937506482,苏女士,女,26,100000007,17416740329,内蒙古自治区,喀喇沁左翼蒙古族自治县,420116200803011456
CU17015619430785,周小姐,女,58,100000000,17589135764,广东省,沁源县,141123199107262995
CU17012031654297,酆小姐,女,53,100000006,13718205643,广东省,永吉县,51340119861201255X
CU17021482907316,成小姐,女,39,100000002,15889074351,香港特别行政区,磴口县,330621195908211162
CU17025187456230,雷小姐,女,31,100000004,17507813654,重庆市,翁牛特旗,52030219370611298X
CU17012275390641,凤小姐,女,24,100000005,13676540921,山西省,四子王旗,460107194001111236
CU17022379280614,薛先生,男,24,100000006,18281437952,辽宁省,武清区,652122199405192813
CU17019749562083,于女士,女,37,100000007,18958719026,湖北省,城子河区,53032420111221222X
CU17020159483602,尹女士,女,57,100000003,18597821053,山东省,北镇市,130601197312292535
CU17027310758249,祁小姐,女,54,100000003,17670492618,广东省,昌黎县,654025197102101113
CU17011620138749,黄女士,女,25,100000001,18437645129,海南省,大连市,320804194605051462
CU17026160285973,云小姐,女,54,100000009,15083914562,湖北省,丹东市,450981194408241236
CU17018152934867,喻先生,男,60,100000004,17592486051,上海市,盖州市,620104198809241273
CU17019345810967,滕小姐,女,30,100000009,13273824190,西藏自治区,古塔区,411081198504021706
CU17023946781032,沈女士,女,48,100000000,17323684107,黑龙江省,岚县,623023197804142793
CU17028042879563,华小姐,女,41,100000007,18516830974,甘肃省,迁西县,370285199210072692
CU17017251984706,周女士,女,22,100000007,18180462315,台湾省,方正县,350502200401232812
CU17022569702431,舒先生,男,30,100000001,18534568271,新疆维吾尔自治区,宁武县,130321194607031915
CU17027814503769,章女士,女,54,100000005,13160948251,吉林省,呼兰区,330681193204122042
CU17015154297360,汤先生,男,35,100000008,17209478612,甘肃省,安泽县,54262220000418258X
CU17021518493027,屈小姐,女,39,100000001,15795672140,内蒙古自治区,新荣区,220202198304152539
CU17014952106783,余女士,女,54,100000003,18085946023,内蒙古自治区,五寨县,150101196605072075
CU17014923486170,魏小姐,女,27,100000009,17552067381,山西省,龙沙区,370782199207162312
CU17023397462518,萧小姐,女,48,100000009,15768473150,香港特别行政区,西市区,430521197309282996
CU17027861735942,孔女士,女,32,100000005,18117253984,山西省,德惠市,50011219300406135X
CU17026735168249,纪女士,女,20,100000008,18753798120,广东省,正镶白旗,371723200303121142
CU17015481925063,平女士,女,32,100000009,18381765209,广东省,富拉尔基区,51322419771212229X
CU17024576923184,冯小姐,女,23,100000004,18883620917,甘肃省,道里区,330703200108311002
CU17018951843076,卞小姐,女,59,100000009,15285423106,上海市,桓仁满族自治县,130628193109111895
CU17017540873296,金先生,男,36,100000007,18385104792,上海市,盐山县,222405194904192089
CU17025401826539,史先生,男,39,100000008,15878061245,西藏自治区,涞水县,460106196511041176
CU17024581926347,熊小姐,女,34,100000003,18760357824,陕西省,涿州市,610928194611061863
CU17024894215370,蒋小姐,女,39,100000002,17290725813,甘肃省,右玉县,120103196204122095
CU17025982761503,曹小姐,女,46,100000004,15059106432,湖南省,五寨县,140524195205122815
CU17015685094371,狄小姐,女,22,100000008,18550246198,澳门特别行政区,广灵县,620981195912231213
CU17021896051432,俞小姐,女,26,100000008,13195346780,青海省,双塔区,371401194602141082
CU17016429506781,陶女士,女,30,100000005,13269705418,河北省,忻州市,230523198307282749
CU17013159670438,苏小姐,女,59,100000003,18120731954,天津市,嘉荫县,421121195808282386
CU17027156249780,和小姐,女,50,100000008,15619423850,广西壮族自治区,桦甸市,420607200504181946
CU17014450367829,陈女士,女,46,100000000,15881369045,贵州省,阜平县,230622194912102759
CU17023058142397,苏先生,男,58,100000001,15793251068,山西省,海拉尔区,410122200503061316
CU17017876195403,伏小姐,女,22,100000008,17153628491,辽宁省,深州市,350305193808062242
CU17027536401289,明小姐,女,56,100000006,17107659238,重庆市,太和区,360830199804291982
CU17026913025764,汪先生,男,41,100000006,13350621874,北京市,鹰手营子矿区,620502198410262893
CU17023851923074,杨先生,男,51,100000000,17286430975,湖南省,海南区,621201198004051693
CU17028512986047,康小姐,女,58,100000008,18705198264,福建省,孟村回族自治县,150726197601231905
CU17023724651308,褚小姐,女,51,100000003,18193278146,天津市,锦州市,50011719631215208X
CU17011719483025,成小姐,女,45,100000006,17523019587,吉林省,蠡县,52032719950201259X
CU17023637029148,何先生,男,20,100000009,18682703951,云南省,静海区,51182719890208215X
CU17023793158042,项先生,男,59,100000008,15875920361,新疆维吾尔自治区,长白朝鲜族自治县,361024195502161632
CU17011403278519,孙女士,女,28,100000004,18331785629,天津市,武邑县,211004198901291739
CU17021026538917,茅先生,男,54,100000004,17475601438,河北省,东乌珠穆沁旗,52262819680226292X
CU17020450273816,邵先生,男,32,100000008,18824390587,湖北省,安新县,130529199110162045
CU17022026415789,金女士,女,54,100000006,18287409216,海南省,岢岚县,341602196701051032
CU17011485316970,施小姐,女,46,100000006,13920756391,山东省,岭东区,370602194110292482
CU17025954183027,谢女士,女,37,100000001,14792378065,云南省,伊金霍洛旗,51070119350131274X
CU17025973618452,宋先生,男,25,100000009,15152397084,山西省,盖州市,341203199009092622
CU17012982756301,喻女士,女,49,100000005,13080456172,河南省,锡林郭勒盟,430321196112211386
CU17020739841526,殷小姐,女,52,100000005,18335714809,澳门特别行政区,沈河区,141124199307081265
CU17018945731682,曹小姐,女,24,100000005,18442719560,四川省,通辽市,411328196006262286
CU17021715290634,邵女士,女,32,100000003,15504835916,海南省,兴隆台区,371311193411211422
CU17022153642079,元小姐,女,27,100000007,18739710842,安徽省,甘井子区,54212519610411246X
